部署,等級,勤続年数,月間残業時間,エンゲージメント,退職
製造,G1,2.2,20.9,66.9,在籍
開発,G4,23.3,55.4,52.8,在籍
人事,G3,3.8,19.5,59.3,在籍
製造,G1,1.9,25.9,68.6,在籍
営業,G1,4.9,41.3,73.0,退職
経理,G1,5.0,19.1,72.4,在籍
製造,G2,2.8,18.9,59.9,在籍
製造,G2,7.0,23.9,71.0,在籍
営業,G3,1.5,41.2,59.5,在籍
開発,G1,2.7,37.8,68.3,在籍
開発,G3,5.3,51.9,60.8,在籍
経理,G1,4.1,18.9,48.3,在籍
製造,G3,8.3,10.6,79.8,在籍
製造,G2,14.5,45.3,54.4,退職
開発,G2,4.3,32.9,53.8,在籍
営業,G4,18.0,30.5,68.2,在籍
製造,G1,1.7,21.3,72.0,在籍
営業,G3,14.1,35.9,53.8,退職
製造,G1,1.5,17.7,75.8,在籍
製造,G1,7.3,21.8,76.1,在籍
製造,G1,3.1,21.6,69.6,退職
開発,G1,2.9,39.9,54.4,退職
経理,G5,21.4,4.5,75.1,在籍
人事,G3,9.9,49.9,66.2,在籍
製造,G1,4.6,20.4,58.9,在籍
営業,G1,0.3,38.4,68.8,在籍
開発,G1,0.8,22.8,66.7,在籍
営業,G1,1.8,26.8,65.7,在籍
営業,G1,5.2,24.6,55.7,在籍
製造,G1,7.2,38.2,61.9,在籍
製造,G2,2.4,17.2,75.6,在籍
経理,G2,8.9,33.9,55.4,在籍
開発,G3,8.0,34.0,68.8,在籍
開発,G1,3.4,33.0,64.8,在籍
開発,G1,1.8,35.3,57.8,退職
営業,G2,0.4,47.7,63.0,在籍
営業,G2,6.8,12.8,57.8,在籍
開発,G2,5.4,25.1,70.9,在籍
営業,G3,8.3,13.8,86.4,在籍
製造,G2,12.5,11.6,87.3,在籍
開発,G3,15.8,32.3,71.1,在籍
人事,G2,10.9,9.8,74.6,在籍
製造,G1,3.8,13.9,68.1,在籍
開発,G1,4.7,15.8,70.0,在籍
人事,G3,10.4,18.0,77.1,在籍
製造,G1,2.7,35.2,56.9,退職
開発,G1,2.9,42.4,65.4,在籍
営業,G1,9.2,34.1,81.4,在籍
製造,G5,16.2,17.4,74.6,在籍
営業,G2,10.6,16.7,63.6,在籍
営業,G2,9.3,21.1,61.2,在籍
営業,G1,5.1,31.5,71.2,在籍
製造,G1,2.6,31.5,64.1,在籍
製造,G3,8.5,35.1,71.3,在籍
製造,G3,14.5,32.1,63.9,在籍
製造,G2,3.9,15.5,78.4,在籍
開発,G1,3.1,38.3,60.5,退職
製造,G2,3.2,20.1,64.4,在籍
営業,G2,7.0,31.4,63.0,在籍
営業,G3,11.9,57.6,46.7,在籍
製造,G1,0.6,2.6,91.9,在籍
開発,G2,5.6,37.0,62.3,在籍
製造,G1,1.5,35.3,67.4,退職
製造,G3,18.6,9.1,75.5,退職
製造,G3,6.1,18.1,63.8,在籍
製造,G1,3.9,16.2,70.1,在籍
製造,G2,6.5,21.1,78.7,在籍
開発,G1,1.1,20.4,65.2,在籍
営業,G1,1.8,38.5,54.7,在籍
開発,G1,5.6,45.3,60.4,在籍
営業,G2,9.1,39.2,66.8,在籍
開発,G1,0.3,28.4,77.6,在籍
人事,G1,12.2,27.0,72.2,在籍
営業,G1,4.0,22.1,74.1,退職
営業,G1,9.4,28.3,73.5,在籍
営業,G1,7.2,55.7,46.4,在籍
営業,G3,17.1,36.3,59.6,在籍
製造,G2,7.0,10.5,67.2,在籍
製造,G3,11.9,27.2,59.4,在籍
製造,G2,3.3,8.7,81.0,在籍
製造,G1,1.1,8.8,76.6,在籍
開発,G1,10.4,26.5,69.8,在籍
製造,G2,1.1,18.7,50.5,在籍
営業,G1,9.0,42.3,77.1,在籍
営業,G1,2.0,38.4,54.6,在籍
営業,G1,6.5,37.8,78.4,在籍
製造,G3,17.3,13.1,66.4,在籍
開発,G1,8.5,32.0,60.0,退職
営業,G2,4.5,36.6,46.4,在籍
開発,G2,7.3,32.7,68.2,在籍
営業,G1,3.4,28.9,57.8,在籍
製造,G3,21.7,30.1,62.9,在籍
開発,G1,2.8,34.2,53.2,在籍
開発,G1,4.9,40.5,67.1,在籍
開発,G2,8.0,57.1,60.0,退職
製造,G4,6.9,24.9,82.5,在籍
開発,G3,7.5,54.2,50.7,退職
営業,G2,3.5,39.8,62.8,在籍
営業,G1,4.4,15.9,62.5,在籍
経理,G1,10.1,11.9,73.2,在籍
人事,G1,9.7,16.8,69.5,在籍
製造,G3,7.0,15.8,76.5,在籍
営業,G2,12.9,32.6,74.8,在籍
経理,G2,10.4,32.4,74.0,在籍
製造,G2,9.5,37.4,57.7,在籍
製造,G1,1.1,25.4,74.4,在籍
開発,G1,7.0,33.1,64.9,在籍
営業,G1,6.1,9.1,73.3,在籍
営業,G2,14.0,34.4,61.4,在籍
人事,G1,4.7,26.3,63.4,在籍
開発,G1,5.7,40.0,74.8,在籍
営業,G1,2.0,55.2,56.1,在籍
開発,G1,2.4,51.6,56.8,在籍
製造,G3,14.1,33.8,65.0,在籍
営業,G2,7.5,23.0,88.2,在籍
人事,G3,17.3,23.6,82.4,在籍
製造,G1,4.6,21.0,64.5,退職
製造,G1,1.4,13.5,70.3,在籍
開発,G2,4.1,45.1,57.3,退職
製造,G1,3.5,25.9,68.5,在籍
製造,G2,8.7,11.6,70.1,在籍
製造,G1,8.5,35.2,68.0,在籍
営業,G1,7.7,33.1,76.3,在籍
開発,G5,20.9,25.4,63.0,在籍
営業,G3,12.4,34.6,57.7,在籍
開発,G1,2.5,41.1,56.6,在籍
開発,G2,10.6,50.3,55.3,在籍
営業,G1,5.4,28.3,81.9,在籍
営業,G2,4.5,42.7,67.6,退職
製造,G3,13.5,27.3,76.9,在籍
営業,G2,2.4,19.1,68.1,在籍
経理,G2,10.1,10.0,74.4,在籍
製造,G3,9.0,37.5,52.9,在籍
開発,G1,2.3,51.2,61.5,在籍
製造,G1,1.0,25.6,70.5,在籍
営業,G2,5.0,50.1,66.6,在籍
経理,G3,11.4,38.8,62.4,在籍
開発,G1,7.0,45.5,58.5,在籍
製造,G3,13.8,15.2,76.6,在籍
営業,G4,6.6,55.8,61.5,在籍
開発,G3,14.4,47.1,50.1,在籍
開発,G1,3.2,33.8,69.3,退職
経理,G1,7.7,16.6,72.7,在籍
製造,G1,3.9,24.8,60.0,在籍
開発,G3,4.9,22.8,53.6,在籍
営業,G1,5.7,39.7,60.8,在籍
開発,G1,6.9,27.5,78.6,在籍
開発,G1,2.9,42.1,72.5,在籍
開発,G1,7.5,32.3,68.4,退職
営業,G1,5.5,29.1,81.3,退職
製造,G1,1.5,13.7,72.0,在籍
人事,G3,0.9,27.4,73.1,在籍
営業,G2,11.5,54.4,53.6,退職
製造,G1,4.7,37.2,58.8,退職
営業,G1,1.3,35.9,57.2,退職
製造,G3,15.9,24.9,56.1,在籍
営業,G3,8.0,44.5,70.0,在籍
製造,G1,6.8,34.4,59.7,在籍
製造,G1,2.6,12.9,67.0,在籍
製造,G1,1.4,21.1,60.1,退職
営業,G2,6.1,13.6,72.2,在籍
経理,G1,5.2,36.4,76.4,在籍
営業,G1,2.0,54.7,69.7,退職
営業,G1,1.9,32.9,51.3,在籍
製造,G1,1.9,0.0,75.9,在籍
開発,G1,1.8,44.7,50.7,在籍
製造,G1,3.1,12.1,80.9,在籍
製造,G1,6.8,14.7,75.6,在籍
開発,G2,7.7,46.5,54.6,退職
経理,G2,5.2,28.4,67.3,在籍
営業,G2,5.9,28.2,63.5,在籍
開発,G2,7.9,32.5,77.9,在籍
営業,G2,0.6,35.0,66.5,在籍
経理,G2,6.3,21.1,75.4,在籍
営業,G3,12.8,23.0,51.5,在籍
営業,G2,4.6,29.9,65.4,在籍
開発,G3,11.1,44.9,76.7,退職
経理,G1,4.7,22.0,79.4,在籍
人事,G1,8.3,10.5,61.9,退職
製造,G2,6.7,34.5,62.1,在籍
人事,G1,1.8,0.0,69.5,在籍
人事,G2,2.3,22.7,81.3,在籍
開発,G2,14.4,32.8,69.4,在籍
開発,G1,9.6,39.6,57.3,在籍
製造,G2,4.9,29.8,66.3,在籍
製造,G1,4.4,34.4,44.3,退職
開発,G1,2.7,30.2,57.1,在籍
営業,G2,7.1,40.1,62.4,在籍
製造,G1,2.9,24.2,74.3,在籍
営業,G1,4.0,13.2,58.7,在籍
経理,G2,3.1,46.5,55.2,退職
営業,G3,9.2,19.4,79.6,在籍
営業,G1,4.8,36.6,52.1,在籍
人事,G1,5.9,30.3,67.9,在籍
営業,G1,1.9,35.0,63.3,在籍
営業,G2,3.1,28.2,79.1,退職
製造,G1,6.0,31.1,64.1,在籍
人事,G1,1.1,8.8,73.1,在籍
営業,G2,4.5,32.9,71.0,在籍
開発,G1,5.3,31.8,55.3,在籍
製造,G1,1.6,14.5,70.3,在籍
経理,G1,10.8,28.7,64.9,退職
開発,G2,6.9,51.5,55.9,在籍
営業,G1,4.7,28.2,73.1,退職
営業,G1,2.9,40.6,64.8,在籍
営業,G1,1.0,32.5,58.1,在籍
営業,G2,10.3,23.8,71.4,退職
製造,G1,3.7,19.2,81.7,退職
営業,G1,1.4,28.7,59.3,在籍
開発,G1,2.9,30.3,66.3,在籍
製造,G2,7.4,28.3,66.0,在籍
製造,G2,6.4,26.2,67.7,在籍
営業,G1,2.0,14.5,59.9,在籍
製造,G2,11.5,5.4,89.6,在籍
製造,G1,1.4,26.7,60.6,在籍
製造,G3,13.1,16.2,82.3,在籍
営業,G2,6.2,36.9,58.6,在籍
営業,G1,3.9,40.6,56.2,在籍
経理,G1,4.4,10.0,83.9,在籍
開発,G1,5.7,22.5,77.0,在籍
開発,G2,7.8,58.0,55.8,在籍
開発,G2,0.8,43.5,64.4,在籍
製造,G1,2.8,17.4,68.8,在籍
経理,G1,5.5,13.7,73.4,在籍
営業,G3,11.8,29.6,63.3,在籍
経理,G4,11.5,15.7,81.2,在籍
営業,G3,15.0,44.9,57.1,在籍
製造,G3,11.1,16.7,85.0,在籍
製造,G2,2.6,35.6,60.4,在籍
営業,G1,5.3,27.6,67.3,在籍
営業,G2,11.2,22.1,77.1,在籍
開発,G2,10.5,34.9,65.6,在籍
経理,G1,4.5,0.0,77.1,在籍
製造,G2,7.7,22.3,70.1,在籍
経理,G1,3.6,22.1,75.8,在籍
製造,G1,1.2,31.1,59.4,在籍
開発,G1,4.9,17.3,70.7,退職
製造,G1,4.6,34.8,63.8,在籍
営業,G3,3.5,44.2,65.6,在籍
営業,G2,7.9,47.4,58.3,在籍
製造,G1,4.4,21.4,83.2,在籍
製造,G3,7.1,36.4,62.6,在籍
営業,G2,9.1,17.4,71.1,在籍
開発,G5,22.5,52.2,60.0,在籍
製造,G1,4.9,13.5,63.5,在籍
人事,G2,11.9,9.4,69.6,在籍
製造,G1,6.3,9.6,71.6,在籍
開発,G1,6.6,38.1,71.4,在籍
開発,G1,5.0,28.9,66.2,在籍
開発,G2,5.9,43.7,56.5,在籍
製造,G3,4.4,5.3,86.1,在籍
人事,G2,10.5,4.2,90.9,在籍
開発,G1,2.9,53.1,64.4,退職
営業,G1,1.2,41.9,53.1,在籍
営業,G3,3.4,23.7,64.7,退職
製造,G2,3.1,23.6,81.9,在籍
製造,G1,3.4,33.2,65.9,在籍
営業,G2,4.8,38.2,60.2,退職
営業,G1,3.4,33.6,69.3,在籍
製造,G1,4.7,34.0,71.6,在籍
営業,G1,3.4,24.0,64.0,在籍
製造,G2,7.2,23.9,71.0,在籍
開発,G3,22.4,41.0,73.2,在籍
営業,G1,6.2,29.0,58.1,退職
経理,G1,3.5,19.7,70.3,退職
営業,G1,0.3,32.8,55.0,在籍
営業,G4,17.7,37.2,59.2,在籍
営業,G1,6.5,20.5,66.5,在籍
営業,G2,4.7,42.4,63.9,在籍
営業,G1,0.4,21.3,66.1,退職
営業,G3,4.9,32.8,59.8,在籍
営業,G1,5.9,28.8,67.2,在籍
営業,G1,3.4,35.9,54.3,在籍
製造,G1,1.5,0.0,81.7,在籍
製造,G2,1.4,33.4,71.9,在籍
開発,G4,17.9,35.4,66.9,在籍
開発,G2,5.7,53.0,54.3,退職
開発,G1,3.4,32.7,67.1,在籍
人事,G1,5.5,25.5,53.0,在籍
人事,G1,5.2,47.1,62.4,在籍
営業,G1,1.3,28.9,88.6,在籍
営業,G1,10.1,45.6,59.6,在籍
営業,G2,4.6,34.0,63.2,退職
営業,G1,5.8,36.6,68.9,在籍
製造,G3,14.1,26.0,82.9,在籍
開発,G1,1.5,47.3,64.5,在籍
営業,G1,2.7,24.5,51.6,在籍
開発,G1,6.7,27.2,72.0,在籍
開発,G3,9.9,34.2,84.9,在籍
営業,G1,3.2,33.1,68.7,在籍
人事,G2,3.3,25.2,59.0,在籍
営業,G1,8.4,39.8,64.7,在籍
経理,G4,21.3,43.2,55.4,在籍
営業,G1,5.6,21.3,79.4,在籍
人事,G1,2.7,17.9,63.6,在籍
人事,G1,2.0,10.2,74.6,在籍
経理,G1,4.8,46.3,52.1,在籍
製造,G1,9.6,25.4,65.4,在籍
製造,G4,27.4,32.1,82.9,在籍
製造,G1,4.1,7.3,76.8,在籍
製造,G1,5.6,22.0,65.6,在籍
営業,G4,15.9,42.4,55.1,在籍
開発,G1,6.7,35.2,50.1,在籍
開発,G1,6.3,49.8,48.1,在籍
人事,G4,13.9,56.2,57.7,在籍
開発,G1,5.7,27.6,74.7,在籍
開発,G1,2.2,26.8,62.4,在籍
製造,G3,12.1,15.5,86.4,在籍
営業,G1,1.1,49.7,50.6,在籍
営業,G1,10.7,43.5,59.9,在籍
開発,G1,5.3,36.5,55.1,在籍
開発,G1,4.2,38.4,69.4,在籍
営業,G3,4.1,26.2,83.2,在籍
開発,G1,4.7,47.8,44.7,退職
開発,G1,3.7,33.8,61.3,在籍
開発,G1,7.4,35.1,73.9,在籍
開発,G1,3.8,44.7,48.2,在籍
製造,G2,5.3,21.5,74.2,在籍
営業,G3,0.6,32.6,72.7,在籍
経理,G1,5.3,24.1,69.3,退職
経理,G1,3.6,32.7,68.5,在籍
開発,G1,10.2,56.1,69.0,在籍
開発,G1,4.3,44.4,73.9,在籍
開発,G2,9.2,48.4,58.5,在籍
人事,G1,8.5,23.8,65.8,在籍
製造,G2,8.6,15.8,66.6,在籍
製造,G2,4.5,30.8,72.8,在籍
開発,G2,5.6,41.5,50.7,退職
製造,G1,7.2,6.4,75.4,在籍
営業,G1,5.7,28.4,67.7,在籍
製造,G2,4.3,22.7,65.3,在籍
営業,G1,2.4,26.4,68.9,在籍
製造,G2,5.4,39.9,80.9,在籍
人事,G1,1.2,31.3,63.4,在籍
営業,G1,0.6,47.1,53.7,在籍
製造,G1,1.9,24.9,75.0,在籍
営業,G1,8.6,32.9,67.6,在籍
製造,G1,6.3,11.7,85.4,在籍
営業,G3,8.6,35.3,65.9,在籍
経理,G1,3.0,24.1,66.2,在籍
営業,G3,10.9,20.2,58.8,在籍
経理,G1,1.4,18.1,58.1,在籍
製造,G1,2.0,18.4,56.5,在籍
製造,G3,10.8,29.7,70.7,在籍
製造,G2,6.0,28.7,56.7,退職
製造,G2,8.7,17.2,82.3,在籍
経理,G3,6.4,32.4,65.6,在籍
営業,G1,3.3,30.0,63.7,在籍
製造,G1,1.8,0.0,72.2,在籍
営業,G1,0.8,26.7,70.9,在籍
製造,G4,16.8,38.7,59.6,在籍
営業,G2,1.0,15.1,64.1,退職
製造,G3,13.6,26.4,79.1,在籍
製造,G3,5.8,42.6,63.2,在籍
開発,G1,6.5,29.6,64.9,在籍
開発,G1,6.2,38.0,67.6,退職
製造,G2,7.9,9.3,76.3,在籍
製造,G1,2.7,39.9,63.7,在籍
開発,G2,0.5,38.7,54.6,退職
製造,G1,3.3,22.5,84.4,在籍
経理,G1,7.4,38.9,58.4,在籍
営業,G1,2.0,39.3,72.6,在籍
営業,G1,11.1,22.4,69.8,在籍
営業,G1,4.8,24.9,74.3,在籍
製造,G2,1.8,29.0,71.0,在籍
開発,G1,6.0,31.1,74.4,在籍
製造,G1,7.3,0.0,73.9,在籍
製造,G3,7.7,24.6,77.3,在籍
開発,G3,10.8,24.9,83.9,在籍
人事,G1,1.3,43.8,56.7,在籍
製造,G2,10.8,25.5,70.0,在籍
営業,G2,11.5,23.6,66.9,在籍
開発,G1,1.8,30.3,62.3,在籍
開発,G1,2.1,17.2,83.7,在籍
営業,G1,9.0,19.9,64.2,在籍
営業,G1,3.8,43.2,52.7,在籍
経理,G2,12.7,50.1,71.3,在籍
開発,G2,15.1,47.6,65.8,在籍
開発,G1,1.8,37.0,77.8,在籍
製造,G1,2.7,17.2,67.7,在籍
製造,G3,5.7,14.7,74.1,在籍
経理,G1,0.4,46.7,52.2,在籍
製造,G1,0.8,19.9,70.4,在籍
開発,G1,2.4,61.3,37.8,退職
開発,G3,18.6,56.5,63.3,在籍
経理,G2,6.4,6.5,79.4,在籍
製造,G2,3.1,16.3,71.2,退職
経理,G1,2.1,16.6,68.2,在籍
営業,G1,1.7,31.1,57.8,在籍
人事,G1,3.3,25.3,73.0,在籍
製造,G1,3.1,55.0,45.4,在籍
営業,G1,4.4,20.2,74.1,在籍
製造,G1,7.6,24.5,84.8,在籍
製造,G1,5.0,28.8,77.7,在籍
営業,G2,9.3,33.6,54.4,退職
開発,G2,4.2,40.8,56.9,在籍
製造,G2,15.9,12.1,80.5,在籍
営業,G2,9.2,34.8,64.6,在籍
開発,G1,6.3,43.6,49.8,在籍
開発,G2,7.6,43.2,63.7,退職
開発,G1,3.3,44.3,59.0,退職
経理,G2,4.4,41.1,75.2,退職
製造,G1,4.2,32.3,62.8,在籍
営業,G2,2.8,34.4,72.1,在籍
経理,G1,1.5,11.1,63.9,在籍
人事,G1,7.9,19.4,63.9,在籍
営業,G1,10.4,29.6,73.2,在籍
人事,G2,7.1,30.4,74.6,在籍
営業,G2,5.0,28.3,59.6,在籍
経理,G4,20.7,18.5,76.1,在籍
製造,G3,3.0,12.1,63.1,在籍
製造,G3,6.4,7.0,75.4,在籍
営業,G2,11.4,31.0,73.8,在籍
人事,G1,1.9,9.8,70.9,在籍
営業,G2,8.4,22.6,68.5,在籍
営業,G3,16.6,30.9,60.6,在籍
営業,G2,5.3,18.9,66.2,在籍
製造,G2,6.0,27.8,80.5,在籍
営業,G1,3.0,40.1,61.4,退職
経理,G2,7.6,19.6,63.9,在籍
製造,G2,2.7,18.8,68.0,在籍
営業,G1,5.1,37.9,50.5,退職
営業,G1,1.3,24.1,59.9,在籍
営業,G2,0.3,25.0,77.0,在籍
製造,G2,3.6,36.8,61.5,在籍
製造,G1,3.5,31.7,79.0,在籍
営業,G1,3.9,38.6,61.1,在籍
人事,G2,9.0,37.8,63.4,在籍
営業,G3,10.6,13.4,79.9,在籍
製造,G1,6.6,36.9,43.3,退職
経理,G1,8.6,28.3,69.4,在籍
製造,G1,2.8,33.1,63.6,在籍
製造,G1,2.2,26.3,78.0,在籍
人事,G1,7.7,26.5,75.6,在籍
営業,G1,1.9,29.0,57.0,在籍
営業,G1,1.7,36.0,71.6,在籍
営業,G5,28.0,35.0,68.7,在籍
開発,G1,5.6,47.5,51.5,在籍
製造,G1,3.5,4.5,78.5,退職
製造,G2,3.2,17.6,69.5,在籍
人事,G1,1.3,48.5,68.1,在籍
営業,G1,6.5,25.1,71.2,在籍
製造,G1,4.2,19.4,72.1,在籍
営業,G4,10.4,27.1,75.7,在籍
営業,G2,7.8,37.3,71.8,在籍
製造,G1,4.0,13.9,78.8,在籍
経理,G1,0.6,22.0,79.0,在籍
製造,G2,5.6,32.9,69.4,在籍
営業,G1,5.2,24.3,69.9,在籍
製造,G1,0.5,30.7,73.6,在籍
営業,G1,7.2,41.0,61.0,在籍
人事,G1,1.8,37.6,61.9,在籍
製造,G2,10.8,25.1,82.8,在籍
営業,G1,4.9,67.7,61.2,在籍
営業,G1,3.1,43.6,59.3,退職
営業,G1,6.2,35.6,60.4,在籍
経理,G2,5.9,16.0,83.6,在籍
開発,G2,5.7,38.5,68.4,在籍
製造,G2,9.8,39.3,65.6,在籍
製造,G2,6.5,42.4,58.4,在籍
製造,G1,2.9,38.3,64.1,在籍
営業,G2,4.3,42.2,60.1,退職
経理,G3,13.5,13.4,71.0,在籍
開発,G2,2.7,45.0,59.5,在籍
製造,G2,7.1,9.9,77.6,在籍
製造,G3,10.1,8.8,74.2,在籍
製造,G2,7.6,26.2,75.3,在籍
経理,G2,5.6,31.4,75.2,在籍
営業,G2,6.3,43.5,67.6,在籍
開発,G1,8.0,43.5,58.8,在籍
開発,G1,2.6,43.8,64.7,退職
開発,G2,5.2,28.8,67.2,退職
営業,G4,20.6,35.6,58.9,在籍
営業,G1,7.3,15.4,78.3,在籍
営業,G1,5.7,10.0,76.3,在籍
開発,G1,3.9,46.1,77.9,在籍
開発,G1,2.7,29.7,76.4,在籍
製造,G1,6.4,31.6,71.0,在籍
製造,G2,6.8,35.8,65.8,在籍
開発,G1,5.0,31.2,66.7,在籍
開発,G5,26.1,50.9,55.4,在籍
営業,G1,2.9,24.7,54.7,在籍
製造,G1,2.3,1.7,71.4,在籍
開発,G1,4.0,39.4,61.1,在籍
営業,G1,5.1,26.8,51.7,在籍
開発,G1,2.5,33.2,59.8,退職
開発,G1,6.3,59.7,51.2,退職
営業,G3,6.8,18.4,70.1,在籍
製造,G3,8.7,29.4,62.4,在籍
製造,G1,3.5,11.1,71.5,在籍
製造,G2,12.7,33.6,79.6,退職
製造,G3,8.2,28.5,72.6,在籍
製造,G1,2.8,26.2,62.9,在籍
開発,G1,2.5,27.6,65.8,在籍
製造,G1,4.2,13.6,72.9,在籍
開発,G1,6.8,48.2,52.6,退職
開発,G2,7.6,59.1,47.9,退職
製造,G4,8.2,32.1,73.6,在籍
開発,G4,19.8,32.9,66.0,在籍
開発,G1,0.9,41.7,51.3,退職
製造,G1,4.8,48.7,57.2,退職
人事,G4,18.7,31.9,70.1,在籍
経理,G1,8.9,40.1,47.8,退職
開発,G1,2.2,29.9,64.9,在籍
開発,G2,6.1,39.1,68.7,退職
製造,G2,4.6,30.4,69.1,在籍
開発,G1,4.5,42.4,77.0,在籍
人事,G2,3.4,19.2,79.8,在籍
開発,G2,5.7,30.7,76.8,在籍
営業,G2,11.2,44.5,82.3,在籍
営業,G3,3.7,48.3,63.0,退職
人事,G2,8.3,44.2,61.8,在籍
営業,G3,9.3,55.0,63.3,在籍
営業,G1,12.6,33.5,62.5,退職
開発,G2,2.5,36.2,63.3,在籍
営業,G3,5.4,50.1,52.2,退職
開発,G1,3.1,45.8,61.3,退職
製造,G2,5.7,12.8,69.1,在籍
営業,G2,5.7,22.2,64.6,在籍
製造,G1,2.0,27.4,69.4,在籍
